title,abstract,keywords,year,journal_title,license,link_doi,link_pdf,query
"Finding the ""Early Medieval"" in South Asian Archaeology","The concept of an “early medieval” period (c. 600–1300 c.e.) in the study of South Asia’s past is well established, yet remains ill defined and poorly understood. As a result, debates regarding grand explanative frameworks, not to mention the meaning and use of the term medieval, have dominated the study of the period. Important though these concerns are, what underpins them, and something that is rarely considered, is how sources and methodologies affect the study of the period. Historiographic review of scholarship on the early medieval reveals that from its inception, the period has been studied exclusively through the examination of documentary sources and monumental remains within the fields of history, literary and religious studies, and art history. Archaeology has been used to support historical theories, largely in order to provide further empirical “proof ” of a perceived decline in trade and urbanism. The continued use of archaeological evidence in this way has meant that the full potential of archaeological inquiry has not been fulfilled, and the impetus for new archaeological research has been stifled. As a result, the early medieval is arguably the most poorly represented period archaeologically in the entire subcontinent. Critical assessment of the limited amount of archaeological evidence that does exist reveals a number of methodological and theoretical concerns that bring into question its applicability and use. These shortcomings not only force one to question historical interpretations, but also limit what can be said, archaeologically, about the period. It is argued that many of the wider uncertainties surrounding the definition and meaning of the early medieval stem from this absence of archaeological research. What is urgently needed is a revitalization of the archaeological approach to the study of the period; some ways are suggested in which this might be achieved in terms of methodological approaches, and questions that could be asked",early medieval history,2014,University of Hawai'i Press (Honolulu),,10.1353/asi.2014.0014,https://core.ac.uk/download/86662182.pdf,early medieval history
The statutes of Iona : the archipelagic context,"In recent decades, understanding of the historical development of Britain and Ireland has benefited significantly from the adoption of integrated approaches to the history of Britain and Ireland. While traditional national histories laid the foundation, the new British and Irish historiography has teased out many of the nuances arising from the interaction between the three kingdoms or four nations of Britain and Ireland. This approach has produced much scholarly work for both the medieval and early modern periods, although modern historians are still grappling with attempts to write a genuinely British history.1 For the early modern period in particular, the ""three kingdoms"" debate of the seventeenth century has advanced awareness of the complexity of regal union and the problems associated with one king ruling three distinct kingdoms. It is within this wider British context that James VI and I's efforts to integrate his three kingdoms need to be viewed. Although James's ""earnist dispositioun to perfyte that Union""- brought about by his succession to the English throne on 1603-was thwarted by both the English and Scottish parliaments, James could not afford to govern either kingdom in isolation",early medieval history,2010,'University of Chicago Press',,10.1086/644533,https://core.ac.uk/download/9028914.pdf,early medieval history
"Cultural contacts and ethnic origins in Viking Age Wales and northern Britain: the case of Albanus, Britain's first inhabitant and Scottish ancestor","Albanus, an eponymous ancestor for the kingdom of Alba, provides an example of the extent to which the creation of an ethnic identity was accompanied by new ideas about origins, which replaced previous accounts. Through an analysis of the Historia Brittonum’s textual tradition and Welsh knowledge of early Roman history and medieval ethnic groups, this article establishes that Albanus was added to the Historia Brittonum in the late ninth or early tenth century as an ancestral figure for the new kingdom of Alba in northern Britain. This was potentially a result of shared political situations in Gwynedd, Alba (formerly Pictland) and Strathclyde in relation to Scandinavian power at this time, which encouraged contacts and the spread of Alba-based ideology to Gwynedd. The later development of this idea and its significance in Alba itself, Geoffrey of Monmouth's account and English claims to supremacy over Scotland are also traced",early medieval history,2015,'Informa UK Limited',,10.1080/03044181.2015.1030438,https://core.ac.uk/download/151160930.pdf,early medieval history
Містичні мотиви в середньовічній китайській прозі,"У статті розглянуто зміни, що відбулися в китайському етнокультурному середовищі на межі 2–3 ст. н.е. Проаналізовано літературно-історичні причини виникнення коротких містичних оповідань у середньовічній китайській прозі, охарактеризовано їх найрозповсюдженіші моделі та хронотоп, виявлено особливості сприйняття містичного та надприродного, що дозволить у подальших дослідженнях детально розкрити різні аспекти китайської містичної літератури та середньовічної прози.MYSTICAL MOTIVES IN CHINESE MEDIEVAL NOVEL Yaroslav Shcherbakov The purpose of the article is to study Chinese medieval mystical novel’s genesis, the main mystic motives in Chinese early medieval short novel, including Taoism and Chinese Buddhism influence. The historical reason’s observation of medieval short novel`s genesis, including the analysis of intellectual world atmosphere in early dark medieval times is also proposed. This thesis systemized different genres of Chinese medieval mystical short novel, influences from sociо-historical process to mystical novel’s genesis. The key attention is focused on Gan Bao “Sao Shenji” and Buddhist short novel’s genesis and main characteristic. Using the methods of historical cross-culture studies and historiographic analysis of classical Chinese texts, such as Bao “Sao Shenji”, Lu Yiqing, Wang Yan and Hou Bo short medieval Buddhist novel (xiaoshuo) the author explores ер specificity of Chinese medieval prose. Chinese medieval prose is analyzed in the context of world history and in the context of Chinese literature genre paradigm history. It has also analyzed the main characteristic of a short mystical novel chronotope, which, according to the author of the article, usually reflects two mains levels of reality: absolute and relative. The article explores the main religious influences on the short medieval novel, especially the influence of the cult of Heaven, Tengranism, Chinese Buddhism and religious Taoism. Chinese medieval mystical novel was a new Chinese literature genre, which included detailed portrait characteristics of the main heroes, pseudohistorical motives and structured symbolic chronotope. It has combined Buddhist, Confucian and Taoist philosophy, high literary style, unpredictable plot and elements of folklore. Short medieval novel had a strong influence on the further development of Chinese literature.МИСТИЧЕСКИЕ МОТИВЫ В КИТАЙСКОЙ СРЕДНЕВЕКОВОЙ ПРОЗЕ Ярослав Щербаков В статье рассмотрено изменения, произошедшие в китайском этнокультурной среде на грани 2–3 в. н.э. Проанализировано литературно-исторические причины возникновения коротких мистических рассказов в средневековой китайской прозе, их наиболее распространенные модели и тип хронотопа, проиллюстрировано характер восприятия мистического и сверхъестественного, что позволит в дальнейших исследованиях подробно раскрыть различные аспекты китайской мистической литературы и средневековой прозы",early medieval history,2017,,,,https://core.ac.uk/download/146446594.pdf,early medieval history
‘BETTER OFF DEAD THAN DISFIGURED’? THE CHALLENGES OF FACIAL INJURY IN THE PRE-MODERN PAST,"This paper contrasts modern representations of facial disfigurement, which often focus on the personal story of 'triumph over adversity', with the problems of accessing such first-person accounts in the medieval past. It examines a number of approaches to the history of facial disfigurement in early medieval Europe, and suggests that this history has been neglected because it does not fit comfortably into existing disciplinary categories such as medical history or disability studies",early medieval history,2016,'Cambridge University Press (CUP)',,10.1017/s0080440116000037,https://core.ac.uk/download/78861515.pdf,early medieval history
Political culture in the Holy Roman Empire,"This article reviews six essay collections and one monograph on late medieval and early modern political culture in the Holy Roman Empire. Following a general survey of historiographical trends and a discussion of the specific contributions of the works under review (covering topics from international relations, state formation and the role of language to representative assemblies and the exercise of power in towns and villages), it attempts a preliminary sketch of the basic parameters of pre-modern politics. Prominent insights include shifts in the balance between oral, ritual and written communication, the significance of informal bonds and the negotiated quality of developments at all levels of government. The conclusion assesses the potential of the ‘new’ political history and calls for renewed efforts to link discourses, representations and perceptions to the norms, structures and socio-economic conditions with which they interacted",early medieval history,2009,'Oxford University Press (OUP)',,10.1093/gerhis/ghn080,https://core.ac.uk/download/49069.pdf,early medieval history
On the History of Political Philosophy: Great Political Thinkers from Thucydides to Locke,"On the History of Political Philosophy: Great Political Thinkers from Thucydides to Locke is a lively and lucid account of the major political theorists and philosophers of the ancient Greek, Roman, medieval, renaissance, and early modern periods. The author demonstrates the continuing significance of some political debates and problems that originated in the history of political philosophy. Topics include discussions concerning human nature, different views of justice, the origin of government and law, the rise and development of different forms of government, idealism and realism in international relations, the distinction between just and unjust war, and the sources of public authority and the nature of legitimate sovereignty. The organizing principle of the book is the idea that the great political thinkers were searching for the best political order and a criterion for human conduct in both domestic and international politics. The book presupposes no previous knowledge of political philosophy. It will therefore be a valuable introductory book for students of philosophy, politics, and international relations. As it opens eyes to the perceptions that historical knowledge may convey, it will also be an illuminating and engaging reading for a general reader",early medieval history,2012,,,,https://core.ac.uk/download/223236011.pdf,early medieval history
Locating Ingetlingum and Suthgedling: Gilling West and Gilling East,"This is an Accepted Manuscript of an article published by Taylor & Francis in Northern History on September 2009, available online: doi:10.1179/174587009X452369This article revisits the location of two ecclesiastical sites from early medieval Yorkshire, arguing that Ingetlingum was Gilling West and Suthgedling was Gilling East. It thereby clarifies the relationship between politics and geography of monastic foundation",early medieval history,2009,'Maney Publishing',,10.1179/174587009x452369,https://core.ac.uk/download/33794972.pdf,early medieval history
The diagnosis and treatment of wounds in the old English medical collections: Anglo-Saxon surgery?,"This volume brings together essays that consider wounding and/or wound repair from a wide range of sources and disciplines including arms and armaments, military history, medical history, literature, art history, hagiography, and archaeology across medieval and early modern Europe",early medieval history,2015,'Brill',,10.1163/9789004306455_008,https://core.ac.uk/download/42136073.pdf,early medieval history
"A középkori Székelyföld = The Medieval Székelys (Hungarian minority group in Eastern Transylvania, Romania)","A pályázat a középkori Székelyföld történetének és régészetének monografikus igényű kutatására vállalkozott. A munka három témakör köré csoportosult: I. Egy, a közelmúltban feltárt, rendkívül gazdag leletanyagot rejtő, 15-16. századi székelykeresztúri udvarház monografikus feldolgozása elkészült és 2008-ban nyomtatásban megjelent. A monográfia az udvarházak és ezek leletei, különösképpen kályhacsempéi és tüzelőberendezései elemzésén túlmenően a középkori székelyföldi nemesség kérdését is áttekintette. E témakörben külön tanulmány is készült. A székelyföldi várakról és védelmi célra felhasznált barlangokról több tanulmány is megjelent (Sófalvi András, Székelyudvarhely). II. A késő középkori, kora újkori csíksomlyói ferences kolostorra vonatkozó kéziratos források (oklevelek, számadáskönyvek és leltárak, elbeszélő források) kiadása már a sajtó alá rendezéshez közeledik (Muckenhaupt Erzsébet, Csíkszereda). III. A pályázat alapvető célját képező, a a középkori Székelyföld régészetét és történetét felölelő monográfia kézirata három részből áll: 1) több fejezetre oszló történeti-régészeti összefoglalás, terjedelmes illusztrációs anyaggal (Benkő Elek); 2) a székelyföldi középkori állatcsontanyag vizsgálata és értékelése (Gál Erika, Budapest); 3) A középkori Székelyföld embertani anyagának teljességre törekvő feldolgozása (Fóthi Erzsébet, Bernert Zsolt, Hajdu Tamás, Budapest). A kötet legfontosabb megállapításai magyarul, illetve németül külön is megjelentek (Benkő Elek). | The project aspired to process the medieval history and archaeology of the Szekler Region in eastern Transylvania. The major themes were assembled in three fields: I. Working up a medieval manor house excavated in the last years at Cristuru Secuiesc, a monograph was published in 2008, which inclused, in addition to the treatment of different types of manor houses and their findings a survey on medieval nobility of the Szekler Region. About medieval castles and caves converted to defensive purposes several publications were elaborated (András Sófalvi). II. The transcript and annotation of late medieval and early modern written sources (documents, accounts, consriptions and chronicles) of the franciscan friary of Csíksomlyó is in the final stage before publication (Erzsébet Muckenhaupt). III. The manuscript of a comprehensive book about the history and archaeology of the Szekler Region contains threee great parts: 1) a large study, divided into several chapters on different historical and archaeological problems from the the much-disputed issues of the early history and 'origin' of the Szeklers untill the 16th-17th centuries, including an instructive case study of sedes (village law court) Aranyos (Elek Benkő), 2) the working up of animal bones of medieval villages, market-towns, castles and manor houses (Erika Gál) and 3) the analysis of the complete medieval anthropological material of the Szekler Region (Erzsébet Fóthi, Zsolt Bernert, Tamás Hajdu)",early medieval history,2010,OTKA,,,https://core.ac.uk/download/11854521.pdf,early medieval history
The Original Subaltern,"This essay invites readers to consider how exclusions operate in the framing of history. In conventional historical thought, agency was accorded only to the limited few. Marginals, ranging from third world nations to subaltern groups of all types, were excluded from the making of history. The task of recuperating the historicity of marginals has been underway now for decades. As I hope to suggest in this essay, however, we have yet to restore historicity to the original subalterns: the peoples of the Paleolithic. The field of medieval studies, curiously enough, is implicated in their exclusion. In the developmental narratives that emerged early in the twentieth century, medieval Europe was presented as the point of origins from which modernity sprang. To the extent that medievalists continue to reaffirm the prehistoricity of the Great Before, they instantiate the very same historical exclusion that modernists currently impose on the Middle Ages.Histor",early medieval history,2012,'Springer Science and Business Media LLC',,10.1057/pmed.2010.19,https://core.ac.uk/download/28939774.pdf,early medieval history
Against “revolution” and “evolution”,"Those standard historiographic themes of “evolution” and “revolution” need replacing. They perpetuate mid-Victorian scientists’ history of science. Historians’ history of science does well to take in the long run from the Greek and Hebrew heritages on, and to work at avoiding misleading anachronism and teleology. As an alternative to the usual “evo-revo” themes, a historiography of origins and species, of cosmologies (including microcosmogonies and macrocosmogonies) and ontologies, is developed here. The advantages of such a historiography are illustrated by looking briefly at a number of transitions the transition from Greek and Hebrew doctrines to their integrations by medieval authors; the transition from the Platonist, Aristotelian, Christian Aquinas to the Newtonian Buffon and to the no less Newtonian Lamarck; the departures the early Darwin made away from Lamarck’s and from Lyell’s views. Issues concerning historical thinking about nature, concerning essentialism and concerning classification are addressed in an attempt to challenge customary stereotypes. Questions about originality and influence are raised, especially concerning Darwin’s “tree of life” scheme. The broader historiography of Darwinian science as a social ideology, and as a “worldview,” is examined and the scope for revisions emphasised. Throughout, graduate students are encouraged to see this topic area not as worked out, but as full of opportunities for fresh contributions",early medieval history,2005,Springer Verlag,,,https://core.ac.uk/download/52544.pdf,early medieval history
"The roots of ""Western European societal evolution"". A concept of Europe by Jenő Szűcs","Jenő Szűcs wrote his essay entitled Sketch on the three regions of Europe in the early 1980s in Hungary. During these years, a historically well-argued opinion emphasising a substantial difference between Central European and Eastern European societies was warmly received in various circles of the political opposition. In a wider European perspective Szűcs used the old “liberty topos” which claims that the history of Europe is no other than the fulfillment of liberty. In his Sketch, Szűcs does not only concentrate on questions concerning the Middle Ages in Western Europe. Yet it is this stream of thought which brought a new perspective to explaining European history. His picture of the Middle Ages represents well that there is a way to integrate all typical Western motifs of post-war self-definition into a single theory. Mainly, the “liberty motif”, as a sign of “Europeanism” – in the interpretation of Bibó’s concept, Anglo-saxon Marxists and Weber’s social theory –, developed from medieval concepts of state and society and from an analysis of economic and social structures. Szűcs’s historical aspect was a typical intellectual product of the 1980s: this was the time when a few Central European historians started to outline non-Marxist aspects of social theory and categories of modernisation theories, but concealing them with Marxist terminology",early medieval history,2014,'Akademiai Kiado Zrt.',,10.1556/socec.36.2014.2.3,https://core.ac.uk/download/12355703.pdf,early medieval history
The Life of Aleksandr Men\u27: Hagiography in the Making,"Hagiography is not an extinct genre in Russian literature, even though many believe that it was important in the history of early Russian literature but became irrelevant as Russian literature entered its modem period. The autobiography of priest A vvakum, written in the second half of the seventeenth century, is often considered to be the final work in the development of Russian hagiography. Russian spirituality has not died out, however, and holy men and women continue to display the same devotion to Christ that was admired in medieval saints. The biographies and memoirs of these modem saints retain some of the hallmarks of traditional hagiography. In this paper I propose to show that the memoirs written about one of these contemporary Christian heroes, Aleksandr Men\u27, draw upon traditional hagiographic elements in order to portray him as a saint. Furthermore, the literature written about Men\u27 contains the seeds for a full-length saint\u27s Life, one that could possibly be included among the works of a modem neo-hagiographic genre",early medieval history,1999,Digital Commons @ George Fox University,,,https://digitalcommons.georgefox.edu/cgi/viewcontent.cgi?article=1777&amp;context=ree,early medieval history
Archeolodzy uniwersyteccy na Ostrowie Tumskim w Poznaniu,"The article discusses contribution of archaeologists from the University of Poznań to the study of the origins and development of the early medieval stronghold at Ostrów Tumski, Poznań. The results of their research studies led to the conclusion that the Piasts’ stronghold had been organised on the basis of Carolingian-Ottonian residences with a stone palace and a chapel. These studies also enabled the reconstruction of the further history of the oldest part of Poznań",early medieval history,2013,'Adam Mickiewicz University Poznan',,10.14746/fpp.2013.18.07,https://core.ac.uk/download/154438382.pdf,early medieval history
Saxon obsequies: The early medieval archaeology of Richard Cornwallis Neville,"Open access journalThis paper investigates the origins of British Anglo-Saxon archaeology by focusing on the work of one early Victorian archaeologist: Richard Cornwallis Neville. The seemingly descriptive and parochial nature of Neville’s archaeological pursuits, together with the attention he afforded to Romano-British remains, has impeded due recognition, and critical scrutiny, of his contributions to the development of early Medieval burial archaeology. Using his archaeological publications as source material, I will show how Neville’s interpretations of Saxon graves were a form of memory work, defining his personal, familial and martial identity in relation to the landscape and locality of his aristocratic home at Audley End, near Saffron Walden, Essex. Subsequently, I argue that Neville’s prehistoric and Romano-British discoveries reveal his repeated concern with the end of Roman Britain and its barbarian successors. Finally, embodied within Neville’s descriptions of early Medieval graves and their location we can identify a pervasive Anglo-Saxonism. Together these strands of argument combine to reveal how, for Neville, Saxon graves constituted a hitherto unwritten first chapter of English history that could be elucidated through material culture and landscape",early medieval history,2013,"'Ubiquity Press, Ltd.'",,10.5334/bha.2312,https://core.ac.uk/download/33794236.pdf,early medieval history
Visions of the Future: Dream Narratology in (Proto-)Science Fiction,"Dream narration has a lengthy history in the Western literary tradition, functioning as the earliest iteration of the frame story. Dream narratives can be found in the Bible, and in Greek and Latin classical literature, but perhaps reached a zenith during the Medieval period, when dream visions became a central narratological strategy in theological texts and secular romances alike. Deriving from this Medieval tradition, early speculative literature utilises the dream narrative to construct and legitimise literary speculations about the future. Futurological dream narratives are thus mediated and undermined by the distancing mechanism of dreaming. Yet paradoxically, they are also legitimated by Christian traditions of belief in predictive dreaming and divine visitation through dreams which were not deconstructed until firstly the Age of Enlightenment and more fully following the advent of Freudian psychoanalysis. In a further subversion, these traditions were often challenged and questioned by early Science Fiction, even as it adopted the legitimating form of Christian dream visions. My paper intends to examine how early SF exemplified this usage of dream narration for centuries after the Medieval dream poem tradition had waned. I hope to demonstrate that the mechanism of dream narrative within science fiction was not eradicated by the advent of seventeenth century ?Protestant? rationalism, as has been argued by SF historian and scholar Adam Roberts, but instead has persisted in a tradition that encompasses the work of H.G. Wells, Olaf Stapledon and other modern authors",early medieval history,2014,,,,https://core.ac.uk/download/228154670.pdf,early medieval history
Pairwise Well-Formed Modes and Transformations,"One of the most significant attitudinal shifts in the history of music occurred in the Renaissance, when an emerging triadic consciousness moved musicians towards a new scalar formation that placed major thirds on a par with perfect fifths. In this paper we revisit the confrontation between the two idealized scalar and modal conceptions, that of the ancient and medieval world and that of the early modern world, associated especially with Zarlino. We do this at an abstract level, in the language of algebraic combinatorics on words. In scale theory the juxtaposition is between well-formed and pairwise well-formed scales and modes, expressed in terms of Christoffel words or standard words and their conjugates, and the special Sturmian morphisms that generate them. Pairwise well-formed scales are encoded by words over a three-letter alphabet, and in our generalization we introduce special positive automorphisms of $F3$, the free group over three letters.Comment: 12 pages, 3 figures, paper presented at the MCM2017 at UNAM in Mexico City on June 27, 2017, keywords: pairwise well-formed scales and modes, well-formed scales and modes, well-formed words, Christoffel words, standard words, central words, algebraic combinatorics on words, special Sturmian morphism",early medieval history,2017,,,10.1007/978-3-319-71827-9_3,http://arxiv.org/abs/1707.02370,early medieval history
